Title,Company,Skills and Experience
"Senior/ Middle Full-stack Developer (.NET, Java, PHP)",BYCN IT Vietnam,"Your skills and experience 
 Minimum 4+ years of hands-on experience in full‑stack development. 
 Strong proficiency in at least one backend language ( 
 Java 
 , 
 PHP 
 , or . 
 NET 
 ) and good understanding of the others. 
 Hands‑on experience with JavaScript and at least one modern front‑end framework (ReactJS, VueJS, Angular…). 
 Solid understanding of RESTful APIs, software architecture patterns, and clean coding practices. 
 Experience with 
 SQL databases 
 (MySQL, PostgreSQL, MSSQL) and version control systems (Git). 
 Familiarity with CI/CD pipelines, Agile/Scrum practices, and application deployment workflows are an advantage. 
 Knowledge of cloud platforms (Azure, AWS, GCP) or microservices is a plus. 
 Strong analytical skills, problem‑solving mindset, and ability to work both independently and in close collaboration with international teams. 
 Strong proficiency in English 
 . French skill is an advantage. 
 General Skills: 
 Strong problem‑solving ability and analytical mindset. 
 Ability to work independently and collaboratively in international teams. 
 Good communication and documentation skills."
"FullStack Developer (NodeJS, ReactJS, AI)",HDS Services Vietnam,"Your skills and experience 
 Must Have 
 4+ years in software development, with 2+ years in full stack development 
 Strong proficiency in React.js with demonstrated ability to create polished, pixel- perfect interfaces 
 Solid experience with Node.js (Express.js or Nest.js) for backend development 
 Experience using AI coding assistants to accelerate development workflows 
 Strong understanding of JavaScript, HTML, CSS, and responsive design principles 
 Experience with RESTful API design and implementation 
 Familiarity with CI/CD tools (Jenkins, GitLab CI, or similar) 
 Knowledge of authentication protocols and security best practices 
 Strong problem-solving skills and attention to visual detail 
 Good English communication skills (written and verbal) 
 Can-do attitude and desire for a long-term position in a growing team 
 Nice to Have 
 Experience with AI-powered UI generation tools (Claude Code, v0, Bolt, or similar) 
 Familiarity with design tools (Figma) and design-to-code workflows 
 Experience building data-heavy dashboards and visualization components 
 Proficiency in SQL and relational databases (PostgreSQL, MySQL) 
 Python experience 
 Cloud platform experience (AWS, Azure, Google Cloud) 
 Understanding of logistics/freight domain or B2B SaaS 
 Language skills: 
 Written and spoken English 
 German communication would be a plus."
"Fullstack Developer (Java or NodeJS, AWS, API)",Tripsoft Studio,"Your skills and experience 
 Tối thiểu 
 3 năm kinh nghiệm 
 phát triển backend với 
 Java hoặc NodeJS hoặc cả 2 stacks. 
 Hiểu rõ: 
 Backend architecture 
 RESTful API, event-based system 
 Data flow trong hệ thống lớn 
 Có kinh nghiệm: 
 Debug production, phân tích log, xử lý incident 
 Làm việc với hệ thống nhiều service, nhiều luồng dữ liệu 
 Thực chiến với: 
 Docker, containerized application 
 Cloud environment (AWS, GCP…) 
 Có kiến thức về: 
 High availability, fault tolerance 
 Security cơ bản cho backend & API 
 Có tư duy hệ thống tốt, chủ động: 
 Review code 
 Đề xuất giải pháp kỹ thuật 
 Hỗ trợ, chia sẻ kinh nghiệm với thành viên khác."
Senior Tech Lead (Full-Stack + AI-Native),CÔNG TY TNHH SPACEMIND,"Your skills and experience 
 TECHNICAL REQUIREMENTS 
 System design (pragmatic): service boundaries, data contracts, caching, failure modes; microservices when justified 
 Data: strong PostgreSQL (indexes, plans, partitions, migrations); depth in one non-relational store (Elasticsearch or MongoDB) 
 Messaging: proficiency with Kafka or RabbitMQ, retries, idempotency, DLQs 
 Platform & cloud: Docker plus Kubernetes (preferred) or managed orchestration on AWS/GCP; CI/CD literacy 
 APIs & contracts: REST + one typed contract (gRPC with Protobuf or Avro with schema registry); versioning and compatibility 
 Security & compliance: OAuth2/OIDC, secrets management, PII/GDPR by design 
 Communication: excellent written and spoken English; crisp stakeholder updates; able to write docs and runbooks 
 AI-NATIVE REQUIREMENTS 
 Demonstrated team AI workflow adoption, you have already done this, not just planned it 
 Proficiency with AI coding tools as primary development environment 
 Experience building or orchestrating AI agents for development automation tasks 
 Ability to evaluate, integrate, and govern new AI tooling as the landscape evolves 
 Track record of measurably improving team throughput through AI-augmented practices 
 NICE TO HAVE 
 WSO2 or Kong; Redis; event sourcing / multi-tenant architectures; observability stack 
 E-commerce or search experience; Odoo / Symfony / PHP 
 MLOps familiarity: ability to work alongside and technically direct an AI/ML engineering team; understanding of model deployment, data pipelines, and inference infrastructure."
"Senior Fullstack Engineer (Angular, .NET)",S4BT Solutions for Business Travel.,"Your skills and experience 
 Minimum 5 years of professional experience in software development using C#, modern cloud architectures, and related technologies. 
 Strong understanding of Object-Oriented Programming (OOP), SOLID principles and API design. 
 Experience in front-end technologies (HTML, CSS, Angular, Blazor). 
 Proven expertise in implementing and managing containerized applications on Microsoft Azure. 
 Strong software architecture knowledge with the ability to review code, enforce secure development standards. 
 Familiarity with AI tools to enhance development processes is an advantage. 
 Familiarity with Agile/Kanban/Scrum methodologies and collaborative development practices. 
 Professional proficiency in English."
Senior Full-stack Developer (SAP Hybris),Simpson Strong-Tie Vietnam,"Your skills and experience 
 Education & Language 
 • Bachelor’s degree in Software Engineering, Computer Science, or a related field (or equivalent 
 experience). 
 • English proficiency sufficient to understand technical documentation (TOEIC 600+ level). 
 Frontend Development 
 • Strong hands-on experience with JavaScript and TypeScript. 
 • Minimum 5 years of experience building modern frontend applications (React, etc.). 
 • Solid understanding of responsive design and cross-browser compatibility. 
 • Proficient in HTML5, CSS3, SASS/LESS, and modern CSS frameworks (e.g., Tailwind CSS, 
 Bootstrap). 
 • Knowledge of front-end architectural patterns and component-based design. 
 Backend Development 
 • Hands-on experience with Java (version 8+) and frameworks such as Spring Boot, or a 
 demonstrated willingness to learn. 
 • Understanding RESTful API design and GraphQL. 
 • Experience working with relational databases (MySQL, PostgreSQL) and ORM tools 
 (JPA/Hibernate). 
 • Familiarity with microservices architecture and distributed systems. 
 • Experience with SAP Hybris Commerce / SAP Commerce Cloud is a plus. 
 Testing & Quality 
 • Experience writing unit and integration tests for backend and frontend services. 
 • Familiarity with API testing tools and methodologies. 
 DevOps & Tools 
 • Proficient with Git for version control. 
 • Experience with cloud platforms, preferably Azure. 
 Additional Skills 
 • Knowledge of performance optimization techniques across the full stack. 
 • Understanding web application security best practices (e.g., OWASP Top 10"
"Senior Fullstack Developer (ReactJS, NodeJS)",Template.net,"Your skills and experience 
 Must have: 
 7 years of experience 
 in Web Development, with 
 3.5+ years in ReactJS and 3.5+ years in NodeJS 
 Strong knowledge of front-end (ReactJS, HTML5, CSS3, JavaScript, ES6+) and back-end (NodeJS, MongoDB, MySQL, PostgreSQL). 
 Experience in and success with Agile software development methodologies, especially Scrum. 
 Nice to have: 
 Experience in, and preference for, developing software using continuous integration and continuous delivery practices. 
 Experience with consuming and building microservices and REST APIs 
 Proficient understanding of code versioning tools, such as Git 
 Excellent problem-solving skills and attention to detail. 
 Bachelor’s or Master's degree in Computer Science, Engineering, or a related field"
Fullstack Software Engineer,Talosix,"Your skills and experience 
 Bachelor’s degree (or higher) in Computer Science or Engineering 
 3+ years of experience in software engineering with experience in modern web application stacks. 
 Proficient in CSS3, HTML5, JavaScript. 
 Greatly proficient in web technologies such as React JS, Typescript, Bootstrap, and Redux. 
 Solid experience on cross browser compatibility, client-side security, browser tuning and optimization techniques/tools. 
 Backend service experience in Python, NodeJS, Scala, and/or Java. 
 Solid proficiency in SQL for querying, extracting, cleaning and preparing data. 
 Have knowledge about MongoDB, Redis, Elastic Search, JWT 
 Has experience working with one of the core cloud platforms and its associated products (AWS, GCP 
 or Azure) as related to architecting and building cloud solutions and/or data pipelines is a plus. 
 Deep expertise in AI-driven development tools and practices, including proficiency with AI coding assistants like Cursor or Claude within VS Code, to generate code, unit tests, and test cases, ensuring high efficiency and quality in development workflows. 
 Passionate early adopter of bleeding-edge AI technologies, with the ability to act as a spokesperson and advocate for AI integration, sharing best practices, third-party resources (e.g., videos, tutorials), and techniques to modernize and accelerate our team’s traditional development processes. 
 Strong communication skills to effectively educate and inspire team members, driving adoption of AI coding techniques and fostering a culture of innovation and efficiency in software development. 
 Excellent verbal and written communication skills in English. 
 Experience working with global and remote teams will be an added bonus."
Fullstack Developer (Python/VueJS or Angular - 10Y EXP),LAVEGA,"Your skills and experience 
 Required Skills & Experience 
 Minimum 10 years of professional software development experience 
 Strong backend expertise in Python 
 Strong frontend experience with Vue.js or Angular 
 Deep understanding of software architecture patterns (Clean Architecture, DDD, Microservices when appropriate) 
 Experience designing and consuming RESTful APIs 
 Strong experience with relational databases (PostgreSQL/MySQL) 
 Experience with Redis or other caching systems 
 Experience with cloud platforms (AWS preferred) 
 Experience with Docker and CI/CD pipelines 
 Hands-on experience using AI coding assistant tools in the daily development workflow 
 Strong system design and analytical problem-solving skills 
 Excellent English communication skills (listening, speaking, reading, writing) — able to communicate directly with US/EU clients 
 Nice to Have 
 Experience in GIS systems 
 Experience working on enterprise-scale or high-traffic systems 
 Experience leading a team 
 Familiarity with Agile/Scrum methodologies 
 Long-term experience working with foreign clients"
"Remote Fullstack Developer(TypeScript, ReactJS, NodeJS)","Solventus, LLC","Your skills and experience 
 Requirements 
 3+ years of production experience with TypeScript and React / Next.js 
 Strong backend skills—you’re comfortable designing database schemas, writing migrations, and building APIs 
 Experience with Supabase or PostgreSQL (including Row Level Security and real-time subscriptions) 
 Familiarity with AWS services (KMS, Secrets Manager, S3, or similar) 
 Understanding of authentication, authorization, and security best practices 
 Self-directed—you can take a problem, break it down, and ship a solution without hand-holding 
 Nice to Have 
 Experience building multi-tenant SaaS platforms 
 Background in fintech, device management, or enterprise compliance (SOC2) 
 Familiarity with AI/ML integrations or LLM-based tooling 
 Spanish or Portuguese language skills"
"[Junior, Senior] FullStack Developer",MB Bank,"Your skills and experience 
 Tốt nghiệp Đại học các chuyên ngành Công nghệ thông tin, Khoa học máy tính, Điện tử viễn thông, Công nghệ phần mềm, Khoa học máy tính, Hệ thống thông tin... 
 Có kinh nghiệm làm việc thực tế tại các công ty hoặc dự án về lập trình Backend 
 Thành thạo 1 trong các ngôn ngữ BackEnd, ưu tiên Java. 
 Thành thạo Spring framework: spring core/ spring sercuity/ spring boots. 
 Thành thạo một trong trong các loại database: Oracle, Sqlserver, PostgreSQL, Mongodb. 
 Có kinh nghiệm trong domain tài chính, ngân hàng, chứng khoán hoặc các hệ thống có số lượng người dùng lớn là lợi thế 
 MB Bank yêu cầu ứng viên ứng tuyển cần cung cấp chi tiết các thông tin sau: 
 - Thông tin cá nhân: Họ và tên, Ngày tháng năm sinh, Giới tính 
 - Số điện thoại và Email liên hệ 
 - Trình độ học vấn, Trường đã tốt nghiệp 
 - Kinh nghiệm làm việc 
 - Từ 3 - 5 kỹ năng nổi bật 
 - Nguồn Tuyển dụng 
 Vì sao Bạn nên đảm bảo đầy đủ thông tin khi ứng tuyển? 
 - Hồ sơ của Bạn sẽ được đánh giá nhanh chóng. 
 - Đối với các hồ sơ đáp ứng đầy đủ thông tin và tiêu chí tuyển dụng phù hợp, MB Bank sẽ chủ động liên hệ phỏng vấn trong thời gian sớm nhất. 
 - Ứng viên vui lòng kiểm tra email và điện thoại thường xuyên để không bỏ lỡ lịch hẹn phỏng vấn. 
 Cập nhật ngay thông tin mới nhất về các Chương trình do MB tổ chức tại FanPage: 
 - Ai yêu Miền Bắc hơn MBers 
 - Ai yêu Miền Trung hơn MBers 
 - Ai yêu Miền Nam hơn MBers"
"[Middle, Senior] FullStack Developer",MB Bank,"Your skills and experience 
 Tốt nghiệp Đại học các chuyên ngành Công nghệ thông tin, Khoa học máy tính, Điện tử viễn thông, Công nghệ phần mềm, Hệ thống thông tin ... 
 Tối thiểu 02 năm làm việc thực tế tại các công ty, dự án về lập trình Backend 
 Tối thiểu 1 - 2 năm kinh nghiệm làm việc với Microservice. 
 Thành thạo ngôn ngữ Java. 
 Thành thạo Spring framework: spring core, spring sercuity, spring boots. 
 Thành thạo một trong trong các loại database: Oracle, Sqlserver, PostgreSQL, Mongodb. 
 Có kiến thức tốt về kiến trúc hệ thống. Thông thạo đa dạng thiết kế phần mềm. 
 Có khả năng tuning performance của ứng dụng, hệ thống. 
 Có hiểu biết sâu về các kỹ thuật/công nghệ: MySQL, Redis, MongoDB, PostgreSQL, Kafka,… 
 Có kinh nghiệm phát triển, sử dụng Cloud, AI, Front-end là 1 lợi thế. 
 Có kinh nghiệm hướng dẫn, quản lý đội nhóm là lợi thế 
 MB Bank yêu cầu ứng viên ứng tuyển cần cung cấp chi tiết các thông tin sau: 
 - Thông tin cá nhân: Họ và tên, Ngày tháng năm sinh, Giới tính 
 - Số điện thoại và Email liên hệ 
 - Trình độ học vấn, Trường đã tốt nghiệp 
 - Kinh nghiệm làm việc 
 - Từ 3 - 5 kỹ năng nổi bật 
 - Nguồn Tuyển dụng 
 Vì sao Bạn nên đảm bảo đầy đủ thông tin khi ứng tuyển? 
 - Hồ sơ của Bạn sẽ được đánh giá nhanh chóng. 
 - Đối với các hồ sơ đáp ứng đầy đủ thông tin và tiêu chí tuyển dụng phù hợp, MB Bank sẽ chủ động liên hệ phỏng vấn trong thời gian sớm nhất. 
 - Ứng viên vui lòng kiểm tra email và điện thoại thường xuyên để không bỏ lỡ lịch hẹn phỏng vấn. 
 Cập nhật ngay thông tin mới nhất về các Chương trình do MB tổ chức tại FanPage: 
 - Ai yêu Miền Bắc hơn MBers 
 - Ai yêu Miền Trung hơn MBers 
 - Ai yêu Miền Nam hơn MBers"
"FullStack Developer (Da Nang, Can Tho, Hybrid)",Dirox,"Your skills and experience 
 To conquer the summit, you need a versatile kit: 
 The Core (Must-Have): 
 5+ Years of Ascent: 
 Proven track record in FullStack development. You are comfortable on any terrain. 
 Backend Strength: 
 Deep expertise in 
 Java (Spring Boot), 
 Hibernate, and Microservices architecture. 
 Frontend Mastery: 
 Proficiency in modern frameworks ( 
 Angular 
 2+ or 
 ReactJS 
 ) and HTML5/CSS3/SASS. 
 Data Fluency: 
 Solid command of SQL (MySQL/PostgreSQL) and NoSQL (MongoDB/Redis). 
 The Sherpa Mindset: 
 Holistic View: 
 You understand how a change in the DB affects the UI. You solve problems systematically, not in silos. 
 Adaptability: 
 Ready to leverage AI tools from 
 Dirox Labs 
 to generate boilerplate code and speed up development. 
 English Proficiency: 
 Fluent communication to collaborate with international clients and cross-functional teams."
"Full-Stack Developer (Typescript, C++, DAP, LSP)",LG Electronics Development Vietnam (LGEDV),"Your skills and experience 
 *** Qualifications: 
 Education: 
 Bachelor’s degree or higher in CS/Software Engineering (or equivalent experience). 
 Experience: 
 5+ years of software development experience, including 
 VS Code extension 
 development. 
 *** Required Skills 
 TypeScript 
 (advanced) 
 VS Code Extension API 
 (hands-on experience) 
 DAP & LSP (Language Server Protocol) 
 fundamentals and practical troubleshooting experience 
 IPC / Socket programming (TCP/IP) 
 for tool-to-runtime communication 
 Strong skills in 
 data handling 
 and performance-aware coding in JS/TS 
 *** Preferred Qualifications: 
 C/C++ reading ability 
 and experience with embedded or simulation environments 
 Experience with 
 Tree-sitter 
 - a parser generator tool 
 Build tooling experience ( 
 ESBuild/Webpack 
 ) and basic release/packaging workflows 
 Familiarity with 
 event-driven architectures 
 and multi-process coordination 
 VS Code UI contributions ( 
 TreeView, Webview panels, custom views 
 ) using HTML/CSS 
 Familiarity with MongoDB/Mongoose for storing and querying analysis results"
"Senior Fullstack Engineer (Go, TypeScript, ReactJ)","Gearment Co.,Ltd","Your skills and experience 
 5+ years of fullstack experience with real production systems and strong technical excellence. 
 Strong ownership mentality, self-directed, accountable, able to own features end-toend. 
 Proficiency in Go and React + TypeScript. 
 Proficient with AI-assisted development tools (e.g. Copilot, Cursor) as part of daily engineering workflow. 
 Solid understanding of RESTful API design, SQL & database design, and Git & code review workflows. 
 Strong problem-solving skills under pressure, calm in incidents and production issues. 
 Ability to make pragmatic technical decisions, balancing quality, performance, and delivery speed. 
 Experience with testing (unit, integration, e2e) and system design & architecture. 
 Clear technical communication, cross-functional collaboration, and constructive code reviews. 
 Familiarity with DevOps basics such as CI/CD and Docker. 
 Experience with microservices, message queues (Kafka, RabbitMQ), performance optimization, or cloud services (AWS/GCP) is a plus."
Senior System Developer (Java) - AI & Automation Team,"Esoft Vietnam., Ltd","Your skills and experience 
 1. Education 
 Bachelor’s degree in Information Technology or a related field 
 2. Experience 
 At least 5 years of experience in Java development 
 Experience working with overseas clients or international colleagues is a plus 
 3. Technical Skills 
 Core Technical Skills 
 Strong proficiency in Modern Java 
 Solid experience with the Spring ecosystem 
 Knowledge of distributed systems and microservices architecture 
 Experience with design patterns and event-driven architecture 
 Ability to follow and contribute to established architectural guidelines 
 Experience designing API contracts 
 Experience with testing frameworks 
 Strong database knowledge: 
 PostgreSQL 
 NoSQL 
 Experience working with AWS ecosystem 
 4. Additional Skills 
 Fluent English communication 
 Good interpersonal and communication skills 
 Experience with Agile software development methodologies 
 Familiarity with Jira and Confluence 
 Strong organizational and task management skills 
 Proactive mindset and problem-solving ability 
 5. Personal Qualities 
 Candidates should demonstrate the following core values: 
 Working time: 9h-18h (Mon-Fri) 
 Location: Han Viet Tower, 203 Minh Khai, Bach Mai ward, Hanoi"
Java Software Engineer,Home Credit Vietnam,"Your skills and experience 
 BS/MS degree in Computer Science, Engineering, or a related field.​ 
 Intermediate in English.​ 
 Strong experience (minimum 3 years) in Java programming, including object-orientedanalysis, design, and development using common design patterns.​ 
 Experience in designing & developing RESTful APIs and microservices-based system.​ 
 Proficient in frameworks such as Spring Boot, Hibernate, and JPA. Able to adopt openframeworks.​ 
 Hands-on experience with database migration tools (e.g., Flyway), and APIdocumentation tools (e.g., Swagger).​ 
 Strong knowledge of relational databases, including SQL Server.​ 
 Experience in modern CI/CD pipelines and tools (e.g. Azure Pipelines, Maven, Docker,GitOps, FluxCD, Kubernetes).​ 
 Experience with unit testing and integration testing (e.g. Mockito, JUnit, Spring BootTest, Test Container).​ 
 Familiarity with Scrum/Agile development methodologies.​ 
 Strong teamwork skills with a problem-solving mindset"
"QA Automation Tester (Java, Javascript)",MiTek Vietnam,"Your skills and experience 
 Required Qualification 
 s: 
 Bachelor’s degree in Computer Science, Software Engineering, or a related field. 
 3+ years of experience with automation testing frameworks (e.g, Robot Framework or Selenium or equivalent tools.) 
 Programming experience in any language (e.g., Python, JavaScript, Java) 
 English proficiency at B1+ CEFR level or above (or equivalent) is required. 
 Preferred Qualifications: 
 Have knowledge with Azure DevOps or CI/CD pipelines. 
 Nice to have TestComplete."
Mid/Sr Java Developer (English Required) - Up to 3200$,"Rakuten Fintech Vietnam Co., Ltd.","Your skills and experience 
 Must have: 
 At least 5+ years working in Java API/Web development 
 Intermediate-level in English communication 
 Strong experience in SQL, especially Oracle 
 Strong knowledge in Java Web & Enterprise (EE) technologies 
 Good knowledge with source control and defect tracking tool 
 Good experience with unit testing: JUnit, mock 
 Must be independent, responsible, and self-motivated with the ability to learn and achieve superior results 
 Strong communication skills with proven ability to present complex ideas and document in a clear and concise way. 
 Nice to have: 
 Experience in developing large-scale mission-critical systems 
 Experience in design and implement event-driven architectures using messaging systems, especially with Kafka 
 Experience in utilizing NoSQL distributed databases to manage large volumes of data, especially with Cassandra 
 Working experience as a Tech Lead and Team Leader 
 Experience in microservice, cloud computing"
Technical Lead (Ruby/Java/NodeJS/PHP),RAKSUL Vietnam,"Your skills and experience 
 Basic Qualification 
 Experience in operating and re-architecting systems operated more than 8 years. 
 Confident with 
 Ruby/PHP/NodeJS/Java 
 or what other languages but willing to deal with 
 Ruby 
 . 
 Highly productive coding and designing unit testing skill with Linux and web-based application’s frameworks (fluent in at least two of the following: Ruby on Rails, NestJS, Laravel, CakePHP, Django, etc.) 
 Hand-on experience with designing and tuning complex relational databases such as MySQL, PostgreSQL. 
 Experience with improving legacy code/system and working with REST API, and GraphQL. 
 Experience with designing and implementing asynchronous processes using event streaming services such as Kafka. 
 Familiar with cloud computing such as AWS, GCP 
 Other skills 
 Decent communication English skill to work with global members. 
 Strong documentation skill utilizing tools such as Notion, Clickup, Github Wiki, etc. 
 Pair programming and/or mob programming. 
 Ability to work with others and preference on teamwork. 
 Strong interest to change old industries with technology."
Technical Lead (Go/Java/Kotlin/TypeScript/Python),"MONEY FORWARD VIETNAM CO.,LTD","Your skills and experience 
 Required Skills and Experience 
 5+ years of experience in software development with strong hands-on skills in a modern programming language (e.g., Go, Java, Kotlin, TypeScript, Python, etc.). 
 Experience in leading small teams or acting as a Scrum Master, Tech Lead, or Engineering Manager in an Agile environment. 
 Deep understanding of backend system design, software architecture, and microservices. 
 Strong communication and stakeholder management skills, with ability to collaborate effectively with product managers, designers, and leaders. 
 Comfortable facilitating Agile ceremonies and balancing delivery accountability with technical execution. 
 Strong sense of ownership, self-direction, and reliability in fast-moving environments. 
 Preferred Skills and Experience 
 Experience with distributed systems, message queues (e.g., Kafka), or event-driven architectures. 
 Familiarity with Domain-Driven Design (DDD), clean architecture, or design patterns for scalable backend development. 
 Exposure to infrastructure as code, containerized environments (e.g., Docker, Kubernetes), or cloud platforms (especially AWS). 
 Experience working in a multi-national, cross-timezone team environment. 
 Scrum Master certification (CSM, PSM) or similar is a plus. 
 Experience in AI development and/or experience in using AI tools to improve development processes. 
 Money Forward recently announced our AI Strategy roadmap which focuses on improving AI-driven operational efficiencies, as well as integrating AI agents into our products to deliver better value to our users. (More information 
 ) 
 Technology Stack 
 Language: Go, Java,  Kotlin, TypeScript, Python 
 Database: MySQL, DynamoDB, Redis 
 Infrastructure/Middleware: Terraform, Kubernetes, AWS (EKS, ECR, RDS, S3, SQS, SNS, etc…), GCP, Docker, Kafka, NginX, Consul"
"Software Engineer II (C#, dotnet,Java)",Motorola Solutions,"Your skills and experience 
 Bachelor’s Degree/ Master Degree in Computer Science, Software Engineering, or a related technical field. 
 Minimum of 3 years of professional experience in backend software development. 
 Primary Tech Stack: 
 Strong proficiency in 
 C# 
 or 
 .NET 
 is highly preferred for immediate integration. 
 Java 
 or 
 Golang 
 experts with strong CS fundamentals who are open to mastering new languages and architectures is preferred. 
 Familiarity with major 
 cloud providers 
 (AWS, Azure, or GCP). 
 Experience with SQL Server, Postgres, or other major relational databases is a plus. 
 Hands-on experience with Docker and Kubernetes (K8s) for container orchestration is a plus 
 Experience with distributed messaging systems (e.g., Kafka, Event Hubs, or RabbitMQ). 
 Proficiency in English (written and verbal) for collaboration in a global environment."
Data Engineer (Java/Python/Scala/Hadoop/Kafka),Giao Hàng Tiết Kiệm,"Your skills and experience 
 Tốt nghiệp Đại học chuyên ngành Công nghệ thông tin hoặc chuyên ngành liên quan; 
 Trên 3 năm kinh nghiệm ở vị trí Data Engineer hoặc các vị trí tương đương; 
 Có khả năng lập trình chuyên sâu Java/Python/Scala; 
 Có kinh nghiệm làm việc về các hệ thống big data, Data-warehouse, BI, sử dụng các mã nguồn mở như Hadoop ecosystem, Kafka, Spark, Hive, Kudu, Hbase, Cassandra; 
 Lập trình thông thạo Spark, Spark-streaming; 
 Có kiến thức và kinh nghiệm xây dựng hệ thống chuyên sâu về dữ liệu với kiến trúc Lambda/Kappa/Data Lake; 
 Có kinh nghiệm xây dựng các hệ thống customer 360 đảm bảo hiệu năng và tính sẵn sàng cao; 
 Tư duy tốt, có khả năng nghiên cứu, đánh giá và cập nhật công nghệ mới."
"Senior Java Engineer (Spring Boot, Microservices, SQL)",EPAM Vietnam,"Your skills and experience 
 At least 5 years of experience in software development with a degree in computer science or equivalents 
 Strong experience with Java, Spring, Spring boot, JUnit, Git, Maven, design patterns, and SOLID design principles 
 Good at data structures, algorithms and problem-solving 
 Proficient with Rest API, Spring MVC, Spring Data and relational DB (MSSQL, DB2, MySQL, Postgres) or NoSQL (MongoDB, Cassandra, etc.) 
 Experience with Spring Security, Microservices, JWT, Swagger, Kafka, TDD/BDD practices and Mockito. 
 Proficient in both spoken and written English (B1 and above levels) with can-do attitudes, willing to learn and apply new technologies quickly 
 Experience with development processes and CI/CD tools e.g. Atlassian JIRA, Jenkins, SonarQube"
Java Spring Boot (20-40 Mil),Nitori Digital Base Vietnam,"Your skills and experience 
 Tốt nghiệp chuyên ngành CNTT các trường đại học; ưu tiên Đại học Bách Khoa Hà Nội, ĐH Công nghệ - ĐHQGHN; Học viện bưu chính viễn thông. 
 Có thể giao tiếp tốt bằng tiếng Anh, tương đương Toeic 600 trở lên; 
 Tối thiểu 03 năm phát triển web phía Backend, mạnh về Java Spring Boot; 
 Ưu tiên kinh nghiệm làm việc cho thị trường Nhật; 
 Có khả năng truyền giao tiếp, truyền đạt ."
Senior Android Developer (Kotlin / Java),Sigma Solutions,"Your skills and experience 
 Core Requirements (Senior Level) 
 3+ years of professional Android development experience 
 Strong experience with 
 Kotlin 
 Good knowledge of 
 Java 
 for maintaining legacy modules 
 Strong understanding of: 
 Object-Oriented Programming (OOP) 
 SOLID principles 
 Android app architecture (MVVM / Clean Architecture) 
 Experience with 
 Android SDK and Android Studio 
 Experience working with 
 RESTful APIs and mobile networking 
 Experience with 
 offline storage and caching 
 Experience with 
 multi-threading, concurrency, and performance optimization 
 Experience using 
 Git version control 
 Experience debugging complex issues and optimizing application performance 
 Nice to Have 
 Experience building 
 reusable Android libraries, SDKs, or internal frameworks 
 Experience with 
 modular Android architecture 
 Experience with 
 Jetpack Compose 
 Experience working with 
 CI/CD pipelines 
 Media Experience (Strong Advantage) 
 Experience working with 
 video streaming technologies 
 ExoPlayer 
 HLS / MPEG-DASH streaming 
 Basic understanding or experience with 
 DRM systems 
 Widevine DRM 
 Experience integrating 
 video player SDKs 
 Soft Skills 
 Creative, ambitious and proactive mindset 
 Strong problem-solving skills 
 Good communication in English (reading and writing technical documentation) 
 Team-oriented but able to work independently"
"Remote Mobile App Developer (Java, Kotlin, Android)","Solventus, LLC","Your skills and experience 
 Requirements 
 3+ years of native Android development with Kotlin and/or Java 
 Deep understanding of Android’s DevicePolicyManager, Device Owner, and Profile Owner APIs 
 Experience with Android system-level features: device admin, managed provisioning, or enterprise mobility 
 Familiarity with Android security architecture including Keystore, TEE, and hardware-backed attestation 
 Comfortable working with REST APIs, background services, and persistent device-to-server communication 
 Ability to debug complex device-level issues across multiple OEMs and Android versions 
 Nice to Have 
 Experience building or working with MDM/EMM solutions 
 Knowledge of RPMB (Replay Protected Memory Block) or secure firmware storage 
 Background in device financing, telecom, or emerging market tech 
 Experience with Samsung Knox APIs or similar OEM security frameworks 
 Spanish or Portuguese language skills"
Chuyên viên Phát triển ứng dụng (Java Developer),SACOMBANK,"Your skills and experience 
 YÊU CẦU CÔNG VIỆC: 
 Yêu cầu về bằng cấp/chứng chỉ 
 Tốt nghiệp Đại học trở lên các chuyên ngành CNTT hoặc các ngành có liên quan. 
 Ưu tiên có các chứng chỉ quốc tế có liên quan. 
 Trình độ ngoại ngữ: tiếng Anh giao tiếp, đọc hiểu tài liệu liên quan. 
 Yêu cầu về kinh nghiệm, kiến thức 
 Ít nhất 02 năm kinh nghiệm làm việc Lập trình ứng dụng bằng 
 Java. 
 Có kinh nghiệm làm tốt về 
 Back-End, API Webservice, Micro services 
 , xử lý tốt MultiTask, Multithread, Multi-processing, cơ chế Hash table, cơ chế xử lý file. 
 Ưu tiên có kinh nghiệm tích hợp / phát triển: 
 RESTful APIs, SOAP, TCP/IP. 
 Ưu tiên có kinh nghiệm làm việc với các hệ điều hành Enterprise Linux, Windows Server. 
 Ưu tiên có kinh nghiệm làm việc trên các web container: JBOSS, Weblogic, IBM Websphere."
